
Episode 1292, Reward: 850.0, MovingAvg(100): 664.00, avgMovingReward: 708.8, Epsilon: 0.0500, Actor_Loss: 33.9534, Critic_Loss: 5550.9736, Entropy: 1.9759

Episode 1293, Reward: 1790.0, MovingAvg(100): 671.10, avgMovingReward: 816.9, Epsilon: 0.0500, Actor_Loss: 56.7345, Critic_Loss: 4243.2787, Entropy: 1.9920

Episode 1294, Reward: 150.0, MovingAvg(100): 669.70, avgMovingReward: 750.2, Epsilon: 0.0500, Actor_Loss: 54.4483, Critic_Loss: 3092.4145, Entropy: 1.9868

Episode 1295, Reward: 840.0, MovingAvg(100): 663.00, avgMovingReward: 759.2, Epsilon: 0.0500, Actor_Loss: 8.3506, Critic_Loss: 1748.6965, Entropy: 2.0053

Episode 1296, Reward: 330.0, MovingAvg(100): 662.00, avgMovingReward: 716.3, Epsilon: 0.0500, Actor_Loss: 31.7149, Critic_Loss: 1808.0485, Entropy: 2.0256

Episode 1297, Reward: 610.0, MovingAvg(100): 663.20, avgMovingReward: 705.6, Epsilon: 0.0500, Actor_Loss: -92.3908, Critic_Loss: 16360.7572, Entropy: 2.0407

Episode 1298, Reward: 210.0, MovingAvg(100): 662.00, avgMovingReward: 656.1, Epsilon: 0.0500, Actor_Loss: 24.7010, Critic_Loss: 1172.1203, Entropy: 2.0326

Episode 1299, Reward: 320.0, MovingAvg(100): 661.50, avgMovingReward: 622.5, Epsilon: 0.0500, Actor_Loss: 1.1242, Critic_Loss: 548.7403, Entropy: 2.0355

Episode 1300, Reward: 270.0, MovingAvg(100): 659.20, avgMovingReward: 587.2, Epsilon: 0.0500, Actor_Loss: 43.0544, Critic_Loss: 2687.3672, Entropy: 2.0408

Episode 1301, Reward: 1060.0, MovingAvg(100): 667.90, avgMovingReward: 634.5, Epsilon: 0.0500, Actor_Loss: -22.4136, Critic_Loss: 4529.0134, Entropy: 2.0461

Episode 1302, Reward: 250.0, MovingAvg(100): 666.50, avgMovingReward: 596.1, Epsilon: 0.0500, Actor_Loss: 4.0068, Critic_Loss: 485.7071, Entropy: 2.0356

Episode 1303, Reward: 390.0, MovingAvg(100): 667.80, avgMovingReward: 575.4, Epsilon: 0.0500, Actor_Loss: 28.9492, Critic_Loss: 1047.0551, Entropy: 2.0330

Episode 1304, Reward: 600.0, MovingAvg(100): 667.60, avgMovingReward: 577.9, Epsilon: 0.0500, Actor_Loss: 28.9465, Critic_Loss: 2602.3704, Entropy: 2.0266

Episode 1305, Reward: 630.0, MovingAvg(100): 660.70, avgMovingReward: 583.1, Epsilon: 0.0500, Actor_Loss: 20.5889, Critic_Loss: 1519.0707, Entropy: 2.0202

Episode 1306, Reward: 130.0, MovingAvg(100): 654.90, avgMovingReward: 537.8, Epsilon: 0.0500, Actor_Loss: 24.2575, Critic_Loss: 645.8661, Entropy: 2.0258

Episode 1307, Reward: 330.0, MovingAvg(100): 656.00, avgMovingReward: 517.0, Epsilon: 0.0500, Actor_Loss: -12.2556, Critic_Loss: 1019.7419, Entropy: 2.0387

Episode 1308, Reward: 270.0, MovingAvg(100): 655.90, avgMovingReward: 492.3, Epsilon: 0.0500, Actor_Loss: -1.6214, Critic_Loss: 384.4794, Entropy: 2.0419

Episode 1309, Reward: 540.0, MovingAvg(100): 650.50, avgMovingReward: 497.1, Epsilon: 0.0500, Actor_Loss: 16.7348, Critic_Loss: 630.3525, Entropy: 2.0469

Episode 1310, Reward: 310.0, MovingAvg(100): 649.50, avgMovingReward: 478.4, Epsilon: 0.0500, Actor_Loss: -12.9235, Critic_Loss: 728.7781, Entropy: 2.0520

Episode 1311, Reward: 440.0, MovingAvg(100): 646.50, avgMovingReward: 474.5, Epsilon: 0.0500, Actor_Loss: 35.0726, Critic_Loss: 1484.9172, Entropy: 2.0479

Episode 1312, Reward: 540.0, MovingAvg(100): 648.10, avgMovingReward: 481.1, Epsilon: 0.0500, Actor_Loss: 43.5910, Critic_Loss: 3561.5787, Entropy: 2.0569

Episode 1313, Reward: 300.0, MovingAvg(100): 645.90, avgMovingReward: 463.0, Epsilon: 0.0500, Actor_Loss: 36.1269, Critic_Loss: 1735.9081, Entropy: 2.0601

Episode 1314, Reward: 270.0, MovingAvg(100): 641.40, avgMovingReward: 443.7, Epsilon: 0.0500, Actor_Loss: -0.3791, Critic_Loss: 264.5389, Entropy: 2.0607

Episode 1315, Reward: 790.0, MovingAvg(100): 642.10, avgMovingReward: 478.3, Epsilon: 0.0500, Actor_Loss: -17.8090, Critic_Loss: 2204.9685, Entropy: 2.0611

Episode 1316, Reward: 470.0, MovingAvg(100): 638.30, avgMovingReward: 477.5, Epsilon: 0.0500, Actor_Loss: 12.8687, Critic_Loss: 265.3209, Entropy: 2.0488

Episode 1317, Reward: 370.0, MovingAvg(100): 637.90, avgMovingReward: 466.7, Epsilon: 0.0500, Actor_Loss: -35.6905, Critic_Loss: 2982.8526, Entropy: 2.0653

