/opt/python/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([128, 1])) that is different to the input size (torch.Size([128])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)

Episode 0, Reward: 430.0, MovingAvg(1): 430.00, avgMovingReward: 430.0, Epsilon: 0.8000, Actor_Loss: -58.9212, Critic_Loss: 2989.9937, Entropy: 2.1890
Episode 59, Reward: 280.0, MovingAvg(60): 349.00, avgMovingReward: 400.3, Epsilon: 0.7609, Actor_Loss: 50.3341, Critic_Loss: 3365.5545, Entropy: 1.6193

Episode 60, Reward: 300.0, MovingAvg(61): 348.20, avgMovingReward: 390.3, Epsilon: 0.7571, Actor_Loss: 57.0601, Critic_Loss: 1582.7560, Entropy: 1.6555

Episode 61, Reward: 340.0, MovingAvg(62): 348.06, avgMovingReward: 385.3, Epsilon: 0.7533, Actor_Loss: 29.6396, Critic_Loss: 573.8939, Entropy: 1.7521

Episode 62, Reward: 820.0, MovingAvg(63): 355.56, avgMovingReward: 428.7, Epsilon: 0.7495, Actor_Loss: -46.0269, Critic_Loss: 1129.2761, Entropy: 1.7071

Episode 63, Reward: 600.0, MovingAvg(64): 359.38, avgMovingReward: 445.9, Epsilon: 0.7458, Actor_Loss: 34.3223, Critic_Loss: 1513.3763, Entropy: 1.7674

Episode 64, Reward: 220.0, MovingAvg(65): 357.23, avgMovingReward: 423.3, Epsilon: 0.7421, Actor_Loss: -6.0067, Critic_Loss: 337.7350, Entropy: 1.8886

Episode 65, Reward: 360.0, MovingAvg(66): 357.27, avgMovingReward: 416.9, Epsilon: 0.7383, Actor_Loss: -35.9743, Critic_Loss: 776.6888, Entropy: 1.8870

Episode 66, Reward: 850.0, MovingAvg(67): 364.63, avgMovingReward: 460.3, Epsilon: 0.7347, Actor_Loss: 35.2449, Critic_Loss: 5802.6303, Entropy: 1.6764

Episode 67, Reward: 210.0, MovingAvg(68): 362.35, avgMovingReward: 435.2, Epsilon: 0.7310, Actor_Loss: 70.5271, Critic_Loss: 3164.4013, Entropy: 1.6718

Episode 68, Reward: 240.0, MovingAvg(69): 360.58, avgMovingReward: 415.7, Epsilon: 0.7273, Actor_Loss: 5.7419, Critic_Loss: 235.8087, Entropy: 1.8008

Episode 69, Reward: 250.0, MovingAvg(70): 359.00, avgMovingReward: 399.1, Epsilon: 0.7237, Actor_Loss: -2.4708, Critic_Loss: 434.4804, Entropy: 1.7820

Episode 70, Reward: 250.0, MovingAvg(71): 357.46, avgMovingReward: 384.2, Epsilon: 0.7201, Actor_Loss: -7.3995, Critic_Loss: 415.7169, Entropy: 1.7768

Episode 71, Reward: 300.0, MovingAvg(72): 356.67, avgMovingReward: 375.8, Epsilon: 0.7165, Actor_Loss: -3.2241, Critic_Loss: 280.4114, Entropy: 1.8934

Episode 72, Reward: 270.0, MovingAvg(73): 355.48, avgMovingReward: 365.2, Epsilon: 0.7129, Actor_Loss: -17.2090, Critic_Loss: 1398.1428, Entropy: 1.8793

Episode 73, Reward: 350.0, MovingAvg(74): 355.41, avgMovingReward: 363.7, Epsilon: 0.7093, Actor_Loss: 10.7132, Critic_Loss: 323.4195, Entropy: 1.8387

Episode 74, Reward: 1150.0, MovingAvg(75): 366.00, avgMovingReward: 442.3, Epsilon: 0.7058, Actor_Loss: -3.2892, Critic_Loss: 9845.4105, Entropy: 1.6739

Episode 75, Reward: 180.0, MovingAvg(76): 363.55, avgMovingReward: 416.1, Epsilon: 0.7022, Actor_Loss: 53.2102, Critic_Loss: 2238.8449, Entropy: 1.6330

Episode 76, Reward: 300.0, MovingAvg(77): 362.73, avgMovingReward: 404.5, Epsilon: 0.6987, Actor_Loss: 11.9849, Critic_Loss: 441.4012, Entropy: 1.7748

Episode 77, Reward: 470.0, MovingAvg(78): 364.10, avgMovingReward: 411.0, Epsilon: 0.6952, Actor_Loss: 54.1675, Critic_Loss: 3562.8765, Entropy: 1.5974

Episode 78, Reward: 310.0, MovingAvg(79): 363.42, avgMovingReward: 400.9, Epsilon: 0.6918, Actor_Loss: 15.8089, Critic_Loss: 550.4132, Entropy: 1.6448

Episode 79, Reward: 180.0, MovingAvg(80): 361.12, avgMovingReward: 378.8, Epsilon: 0.6883, Actor_Loss: 40.1161, Critic_Loss: 1873.2924, Entropy: 1.6597

Episode 80, Reward: 1070.0, MovingAvg(81): 369.88, avgMovingReward: 448.0, Epsilon: 0.6849, Actor_Loss: -343.9676, Critic_Loss: 140388.6961, Entropy: 1.6792

Episode 81, Reward: 230.0, MovingAvg(82): 368.17, avgMovingReward: 426.2, Epsilon: 0.6814, Actor_Loss: 46.3149, Critic_Loss: 4192.2243, Entropy: 1.4757

Episode 82, Reward: 830.0, MovingAvg(83): 373.73, avgMovingReward: 466.5, Epsilon: 0.6780, Actor_Loss: -41.5386, Critic_Loss: 3681.4749, Entropy: 1.4598

Episode 83, Reward: 520.0, MovingAvg(84): 375.48, avgMovingReward: 471.9, Epsilon: 0.6746, Actor_Loss: 57.9898, Critic_Loss: 2402.0924, Entropy: 1.5916

Episode 84, Reward: 260.0, MovingAvg(85): 374.12, avgMovingReward: 450.7, Epsilon: 0.6713, Actor_Loss: 30.9372, Critic_Loss: 1225.4981, Entropy: 1.7322

Episode 85, Reward: 300.0, MovingAvg(86): 373.26, avgMovingReward: 435.6, Epsilon: 0.6679, Actor_Loss: -44.4099, Critic_Loss: 3353.8352, Entropy: 1.7887

Episode 86, Reward: 350.0, MovingAvg(87): 372.99, avgMovingReward: 427.1, Epsilon: 0.6646, Actor_Loss: 14.3658, Critic_Loss: 489.0580, Entropy: 1.7169

Episode 87, Reward: 640.0, MovingAvg(88): 376.02, avgMovingReward: 448.4, Epsilon: 0.6613, Actor_Loss: -9.2193, Critic_Loss: 368.7263, Entropy: 1.6437

Episode 88, Reward: 390.0, MovingAvg(89): 376.18, avgMovingReward: 442.5, Epsilon: 0.6579, Actor_Loss: 20.1150, Critic_Loss: 596.4415, Entropy: 1.6696

